,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
1060790,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0123,-81.2307
1061116,395152,CloudPBX,43.6319,-79.3716,16696,iTel Networks Inc,44.25,-80.55
1061651,395152,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",40.0698,-85.9817
1061887,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.8401,-86.0548
1062090,395152,CloudPBX,43.6319,-79.3716,22652,Fibrenoire Inc.,43.6784,-79.2941
1062370,395152,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.5394,-73.6513
1062604,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.0147,-81.3049
1063208,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,42.9915,-81.3402
1063669,395152,CloudPBX,43.6319,-79.3716,1403,EBOX,45.5009,-73.5877
1064314,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.7132,-86.2617
1064959,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.1432,-80.7338
1065789,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.3799,-79.7668
1066841,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.4881,-79.7098
1068439,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.5148,-79.884
1069611,395152,CloudPBX,43.6319,-79.3716,15122,Point to Point Broadband Inc.,44.4167,-80.0833
1069783,395152,CloudPBX,43.6319,-79.3716,40788,Start Communications,43.6605,-79.4633
1070292,395152,CloudPBX,43.6319,-79.3716,22773,Cox Communications Inc.,33.5076,-112.0583
1070344,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",42.5038,-83.4764
1071277,395152,CloudPBX,43.6319,-79.3716,855,Bell Canada,45.0691,-64.4696
1072355,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,44.3572,-79.6929
1073046,395152,CloudPBX,43.6319,-79.3716,5769,Videotron Telecom Ltee,45.5354,-73.6061
1074498,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.8769,-79.2686
1074897,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,43.0147,-81.3049
1075303,395152,CloudPBX,43.6319,-79.3716,33363,"BRIGHT HOUSE NETWORKS, LLC",39.9738,-86.1765
1075447,395152,CloudPBX,43.6319,-79.3716,40191,ZEROFAIL,45.4987,-73.5793
1078449,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,43.6656,-79.383
1079017,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,42.8909,-81.3236
1082774,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,42.966,-81.2053
1087134,395152,CloudPBX,43.6319,-79.3716,7018,"AT&T Services, Inc.",39.7838,-86.0477
1087646,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,49.1364,-122.8213
1088394,395152,CloudPBX,43.6319,-79.3716,812,Rogers Communications Canada Inc.,44.3001,-79.6496
1096466,395152,CloudPBX,43.6319,-79.3716,7922,"Comcast Cable Communications, LLC",42.3539,-83.212
1165419,395152,CloudPBX,43.6319,-79.3716,6327,Shaw Communications Inc.,48.4765,-123.3145
1179054,395152,CloudPBX,43.6319,-79.3716,852,TELUS Communications Inc.,49.1205,-123.1171
1229597,395152,CloudPBX,43.6319,-79.3716,15102,WiBand Communications,53.522,-113.459
1265213,395152,CloudPBX,43.6319,-79.3716,6621,Hughes Network Systems,31.989,-83.3217
1287039,395152,CloudPBX,43.6319,-79.3716,18809,Cable Onda,8.9936,-79.5197
1319044,395152,CloudPBX,43.6319,-79.3716,9009,M247 Ltd,25.7806,-80.1826
1344449,395152,CloudPBX,43.6319,-79.3716,577,Bell Canada,47.3507,-71.202
