"MIN(calldate)","MAX(calldate)","INET_NTOA(sipcallerip)","COUNT(sipcallerip)"
"2018-05-01 04:41:38","2018-05-31 05:31:18","192.102.255.81",114
"2018-05-01 16:24:43","2018-05-31 18:50:40","192.102.255.80",113
"2018-05-01 12:27:14","2018-05-05 15:19:14","192.102.255.80",112
"2018-05-01 05:17:08","2018-05-07 00:12:42","192.102.255.83",112
"2018-05-01 10:01:25","2018-05-07 03:16:01","192.102.255.82",112
"2018-05-07 15:18:46","2018-05-14 18:05:57","192.102.255.81",110
"2018-05-01 17:10:11","2018-05-31 16:12:31","192.102.255.81",109
"2018-05-01 19:09:00","2018-05-30 20:49:04","192.102.254.82",108
"2018-05-23 14:28:38","2018-05-31 19:23:14","98.159.46.83",107
"2018-05-01 15:52:36","2018-05-31 14:09:15","192.102.255.83",106
"2018-05-07 11:18:20","2018-05-10 18:04:13","192.102.255.81",106
"2018-05-01 16:13:55","2018-05-31 16:39:22","192.102.254.82",104
"2018-05-15 15:13:43","2018-05-31 19:09:32","98.159.46.83",103
"2018-05-01 15:15:50","2018-05-17 16:19:20","192.102.255.81",103
"2018-05-01 15:42:08","2018-05-07 19:34:45","192.102.255.80",102
"2018-05-01 13:03:29","2018-05-31 18:26:18","98.159.46.80",101
"2018-05-01 12:05:31","2018-05-06 11:18:44","192.102.255.80",100
"2018-05-01 15:30:34","2018-05-22 19:29:19","98.159.46.82",97
"2018-05-01 01:00:35","2018-05-31 16:30:04","192.102.254.82",96
"2018-05-02 11:34:53","2018-05-06 16:09:27","192.102.255.83",94
"2018-05-02 17:04:31","2018-05-31 16:23:18","192.102.254.82",93
"2018-05-01 15:57:33","2018-05-23 14:48:23","192.102.255.81",93
"2018-05-01 01:40:55","2018-05-06 10:38:48","192.102.255.80",92
"2018-05-01 17:46:43","2018-05-31 19:16:35","192.102.254.82",91
"2018-05-11 11:39:18","2018-05-17 18:47:57","192.102.255.82",89
"2018-05-01 08:50:57","2018-05-04 18:45:40","192.102.255.83",88
"2018-05-01 17:55:07","2018-05-30 23:12:53","192.102.254.83",87
"2018-05-24 10:08:15","2018-05-31 18:17:50","192.102.255.82",87
"2018-05-07 15:05:05","2018-05-31 18:13:32","192.102.254.82",85
"2018-05-02 15:20:31","2018-05-31 17:39:04","192.102.255.80",82
"2018-05-01 18:31:22","2018-05-31 18:44:57","192.102.254.83",80
"2018-05-01 11:52:28","2018-05-31 16:28:24","98.159.46.80",80
"2018-05-01 03:15:22","2018-05-31 00:43:15","192.102.254.83",79
"2018-05-15 17:55:40","2018-05-31 19:09:01","192.102.255.83",79
"2018-05-07 11:16:38","2018-05-14 21:27:53","192.102.255.82",78
