"calldate_first","calldate_last","INET_NTOA(sipcallerip)","calls_qty_per_ip","connect_duration_minutes"
"2018-01-03 14:51:28","2018-05-31 18:00:49","104.250.92.197",1260,2936.7500
"2018-01-02 16:29:32","2018-03-15 18:12:18","72.143.105.106",989,2918.2167
"2018-04-17 14:17:19","2018-05-31 19:27:18","74.50.229.66",1384,2890.1667
"2018-01-05 16:15:07","2018-05-31 18:33:59","192.222.248.79",2846,2886.4000
"2018-04-13 20:46:27","2018-05-31 18:53:12","99.237.116.133",1686,2868.7333
"2018-01-02 16:03:44","2018-05-31 16:46:51","50.194.106.13",1672,2849.2000
"2018-01-03 13:04:04","2018-05-31 18:06:33","72.38.217.156",1245,2841.6500
"2018-01-02 14:17:07","2018-05-31 18:52:37","108.215.36.219",2362,2792.2333
"2018-01-02 16:44:48","2018-02-08 23:57:46","70.79.72.237",960,2729.2833
"2018-04-09 11:44:48","2018-05-31 19:07:06","142.166.22.50",2434,2701.6000
"2018-01-02 11:39:42","2018-03-29 16:05:15","142.166.132.22",1548,2683.9500
"2018-01-20 01:36:55","2018-05-31 19:28:58","99.241.0.140",1345,2672.3833
"2018-01-02 16:50:55","2018-05-31 17:37:20","184.70.144.234",1659,2646.8833
"2018-01-02 14:20:25","2018-02-08 19:17:37","142.167.22.44",472,2630.9333
