,a_saddr,a_saddr_asn,a_saddr_asorg,a_saddr_lat,a_saddr_long,b_saddr,b_saddr_asn,b_saddr_asorg,b_saddr_lat,b_saddr_long
43609,1654599251,395766,CloudPBX,40.7432,-75.2242,855187221,7922,"Comcast Cable Communications, LLC",39.3656,-76.6199
44722,2393257342,855,Bell Canada,47.5334,-52.7595,1654599251,395766,CloudPBX,40.7432,-75.2242
46220,851601933,7922,"Comcast Cable Communications, LLC",37.751,-97.822,1654599251,395766,CloudPBX,40.7432,-75.2242
47989,1654599251,395766,CloudPBX,40.7432,-75.2242,2904576785,812,Rogers Communications Canada Inc.,47.5986,-52.6926
48884,411891757,40788,Start Communications,42.9888,-82.3592,1654599251,395766,CloudPBX,40.7432,-75.2242
49188,3480447026,11478,Openface Inc.,45.4805,-73.5554,1654599251,395766,CloudPBX,40.7432,-75.2242
56554,1654599250,395766,CloudPBX,40.7432,-75.2242,3480447027,11478,Openface Inc.,45.4805,-73.5554
60015,410719962,33363,"BRIGHT HOUSE NETWORKS, LLC",40.5099,-85.6264,1654599251,395766,CloudPBX,40.7432,-75.2242
62959,1210491342,7992,Cogeco Cable,42.3167,-82.9,1654599250,395766,CloudPBX,40.7432,-75.2242
63135,1210491342,7992,Cogeco Cable,42.3167,-82.9,1654599251,395766,CloudPBX,40.7432,-75.2242
66463,1663736670,7018,"AT&T Services, Inc.",37.751,-97.822,1654599251,395766,CloudPBX,40.7432,-75.2242
66806,2913301853,7922,"Comcast Cable Communications, LLC",37.751,-97.822,1654599250,395766,CloudPBX,40.7432,-75.2242
67650,1804310580,7018,"AT&T Services, Inc.",41.7403,-87.654,1654599250,395766,CloudPBX,40.7432,-75.2242
67906,2918435450,40191,ZEROFAIL,45.4987,-73.5793,1654599250,395766,CloudPBX,40.7432,-75.2242
68380,1616866353,7922,"Comcast Cable Communications, LLC",41.8876,-87.6368,1654599250,395766,CloudPBX,40.7432,-75.2242
68940,1654599250,395766,CloudPBX,40.7432,-75.2242,1229012093,7922,"Comcast Cable Communications, LLC",44.9198,-93.4832
69856,1804310580,7018,"AT&T Services, Inc.",41.7403,-87.654,1654599251,395766,CloudPBX,40.7432,-75.2242
74190,1676361733,812,Rogers Communications Canada Inc.,43.8177,-79.2819,1654599251,395766,CloudPBX,40.7432,-75.2242
76979,2391207502,855,Bell Canada,47.483,-52.8415,1654599251,395766,CloudPBX,40.7432,-75.2242
77762,2391207502,855,Bell Canada,47.483,-52.8415,1654599250,395766,CloudPBX,40.7432,-75.2242
78445,2393068192,855,Bell Canada,47.5986,-52.6926,1654599251,395766,CloudPBX,40.7432,-75.2242
80401,1654599251,395766,CloudPBX,40.7432,-75.2242,1599332522,13280,Three Ireland (Hutchison) limited,53.3331,-6.2489
84679,1282584635,7922,"Comcast Cable Communications, LLC",39.2575,-76.4951,1654599250,395766,CloudPBX,40.7432,-75.2242
85902,410720570,33363,"BRIGHT HOUSE NETWORKS, LLC",39.895,-86.1804,1654599250,395766,CloudPBX,40.7432,-75.2242
86114,1282584635,7922,"Comcast Cable Communications, LLC",39.2575,-76.4951,1654599251,395766,CloudPBX,40.7432,-75.2242
86498,3480447026,11478,Openface Inc.,45.4805,-73.5554,1654599250,395766,CloudPBX,40.7432,-75.2242
88289,1210505719,7992,Cogeco Cable,42.9578,-82.2777,1654599251,395766,CloudPBX,40.7432,-75.2242
89496,1210498534,7992,Cogeco Cable,42.8833,-82.15,1654599250,395766,CloudPBX,40.7432,-75.2242
89571,1654599250,395766,CloudPBX,40.7432,-75.2242,409640138,33363,"BRIGHT HOUSE NETWORKS, LLC",40.4894,-85.5977
89856,1210498534,7992,Cogeco Cable,42.8833,-82.15,1654599251,395766,CloudPBX,40.7432,-75.2242
